,t,v
0,0.0,-120.0
1,0.00935,-20.0
2,0.50935,-20.0
3,0.55935,-120.0
4,0.6093500000000001,-10.0
5,1.10935,-20.0
6,1.15935,-120.0
7,1.2093500000000001,0.0
8,1.7093500000000001,-20.0
9,1.7593500000000002,-120.0
10,1.80935,10.0
11,2.3093500000000002,-20.0
12,2.35935,-120.0
13,2.4093500000000003,20.0
14,2.9093500000000003,-20.0
15,2.95935,-120.0
16,3.00935,30.0
17,3.50935,-20.0
18,3.5593500000000002,-120.0
19,3.60935,40.0
20,4.10935,-20.0
21,4.15935,-120.0
22,4.209350000000001,50.0
23,4.709350000000001,-20.0
24,4.75935,-120.0
25,4.80935,60.0
26,5.30935,-20.0
27,5.35935,-120.0
28,5.40935,70.0
29,5.90935,-20.0
30,5.959350000000001,-120.0
31,6.00935,80.0
32,6.50935,-20.0
33,6.55935,-120.0
34,6.60935,90.0
35,7.10935,-20.0
36,7.159350000000001,-120.0
37,7.209350000000001,100.0
38,7.709350000000001,-20.0
39,7.75935,-120.0
40,7.80935,110.0
41,8.30935,-20.0
42,8.359350000000001,-120.0
43,8.40935,120.0
44,8.90935,-20.0
45,8.95935,-120.0
46,8.99995,-120.0
