,t,I_out
0,0.0,-1.2207
1,5e-05,-12.8174
2,0.0001,-134.888
3,0.00015000000000000001,-394.592
4,0.0002,-704.651
5,0.00025,-970.154
6,0.00030000000000000003,-1133.12
7,0.00035,-1182.56
8,0.0004,-1134.95
9,0.00045000000000000004,-1020.2
10,0.0005,-872.192
11,0.00055,-718.079
12,0.0006000000000000001,-577.087
13,0.0006500000000000001,-459.9
14,0.0007,-368.347
15,0.00075,-302.734
16,0.0008,-257.874
17,0.0008500000000000001,-230.408
18,0.0009000000000000001,-213.928
19,0.00095,-204.468
20,0.001,-199.89
21,0.0010500000000000002,-197.449
22,0.0011,-196.228
23,0.00115,-194.702
24,0.0012000000000000001,-192.566
25,0.00125,-191.04
26,0.0013000000000000002,-188.904
27,0.00135,-186.462
28,0.0014,-183.716
29,0.0014500000000000001,-181.274
30,0.0015,-178.833
31,0.0015500000000000002,-176.697
32,0.0016,-173.645
33,0.00165,-171.509
34,0.0017000000000000001,-169.373
35,0.00175,-167.236
36,0.0018000000000000002,-165.71
37,0.00185,-163.574
38,0.0019,-161.743
39,0.0019500000000000001,-160.217
40,0.002,-158.691
41,0.00205,-157.166
42,0.0021000000000000003,-154.724
43,0.00215,-153.503
44,0.0022,-151.978
45,0.0022500000000000003,-150.452
46,0.0023,-148.621
47,0.00235,-146.79
48,0.0024000000000000002,-145.874
49,0.00245,-144.043
50,0.0025,-142.517
51,0.00255,-140.991
52,0.0026000000000000003,-138.855
53,0.00265,-137.024
54,0.0027,-135.193
55,0.0027500000000000003,-133.667
56,0.0028,-131.531
57,0.00285,-130.31
58,0.0029000000000000002,-129.089
59,0.00295,-126.953
60,0.003,-125.427
61,0.00305,-123.901
62,0.0031000000000000003,-122.681
63,0.00315,-121.155
64,0.0032,-120.239
65,0.0032500000000000003,-119.019
66,0.0033,-117.798
67,0.00335,-117.493
68,0.0034000000000000002,-116.272
69,0.0034500000000000004,-115.051
70,0.0035,-113.831
71,0.00355,-112.915
72,0.0036000000000000003,-112.0
73,0.00365,-110.474
74,0.0037,-109.558
75,0.0037500000000000003,-108.032
76,0.0038,-107.422
77,0.00385,-105.896
78,0.0039000000000000003,-105.286
79,0.00395,-97.9614
80,0.004,-64.3921
81,0.00405,-7.32422
82,0.0041,51.2695
83,0.00415,95.8252
84,0.004200000000000001,118.408
85,0.00425,118.408
86,0.0043,102.539
87,0.004350000000000001,75.9888
88,0.0044,46.0815
89,0.00445,16.4795
90,0.0045000000000000005,-9.15527
91,0.00455,-29.6021
92,0.0046,-44.5557
93,0.0046500000000000005,-54.3213
94,0.0047,-61.0352
95,0.00475,-64.3921
96,0.0048000000000000004,-65.918
97,0.00485,-66.2231
98,0.0049,-65.6128
99,0.00495,-65.3076
100,0.005,-64.3921
101,0.005050000000000001,-64.0869
102,0.0051,-63.1714
103,0.00515,-62.8662
104,0.005200000000000001,-62.561
105,0.00525,-61.6455
106,0.0053,-61.3403
107,0.005350000000000001,-60.4248
108,0.0054,-60.4248
109,0.00545,-59.8145
110,0.0055000000000000005,-59.5093
111,0.00555,-59.2041
112,0.0056,-59.2041
113,0.0056500000000000005,-59.5093
114,0.0057,-58.5938
115,0.00575,-58.8989
116,0.0058000000000000005,-57.9834
117,0.00585,-58.2886
118,0.0059,-58.2886
119,0.00595,-57.6782
120,0.006,-57.373
121,0.006050000000000001,-56.4575
122,0.0061,-56.7627
123,0.00615,-55.8472
124,0.006200000000000001,-55.8472
125,0.00625,-55.542
126,0.0063,-54.9316
127,0.006350000000000001,-54.9316
128,0.0064,-54.0161
129,0.00645,-53.7109
130,0.006500000000000001,-53.7109
